bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,sample index,total bids,total_excess_papers,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
6,0,1,32,0,0,182.0,24.42857142857143,0.24978867286559595,0.18956043956043955,0.856175343606772,8.692138648708434,0.16522645678947084,0.11748808303525149,nan,nan,nan,8.692138648708434,0.16522645678947084,0.11748808303525149,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,1,174.0,31.700000000000003,0.28868258178603007,0.22214854111405832,0.7661062325904335,9.030738178999949,0.1584842900588028,0.11387815059107871,nan,nan,nan,9.030738178999949,0.1584842900588028,0.11387815059107871,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,2,189.0,29.249999999999996,0.2613960113960114,0.19993894993894995,0.7658528708510881,9.234203477421435,0.1830483706048,0.13306141598977095,nan,nan,nan,9.234203477421435,0.1830483706048,0.13306141598977095,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,3,175.0,29.15,0.27153846153846156,0.21373626373626373,0.7976831130507194,9.201096024858154,0.19319748020897282,0.1473642765710733,nan,nan,nan,9.201096024858154,0.19319748020897282,0.1473642765710733,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,4,185.0,30.1,0.2876299376299376,0.2230769230769231,0.8558959841076246,9.588199045153443,0.1584894916601511,0.11056520918008063,nan,nan,nan,9.588199045153443,0.1584894916601511,0.11056520918008063,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,5,178.0,26.8,0.27549697493517716,0.2102420051858254,0.8477841158848036,9.063264112519581,0.17902462937497954,0.1385376897021746,nan,nan,nan,9.063264112519581,0.17902462937497954,0.1385376897021746,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,6,176.0,28.099999999999998,0.2652972027972028,0.20454545454545456,0.8676413458820157,9.142844258279744,0.19160969617998172,0.1395883480474899,nan,nan,nan,9.142844258279744,0.19160969617998172,0.1395883480474899,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,7,181.0,30.578571428571426,0.2735869103272418,0.21291967700807482,0.8032505978583152,9.443374318903672,0.17423555004456093,0.13432414982265223,nan,nan,nan,9.443374318903672,0.17423555004456093,0.13432414982265223,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,8,186.0,25.95,0.26530190239867657,0.2003722084367246,0.8412673715821217,9.154498849320502,0.19455259739109482,0.14534477891991984,nan,nan,nan,9.154498849320502,0.19455259739109482,0.14534477891991984,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
6,0,1,32,0,9,187.0,28.135714285714286,0.27283011106540517,0.21338955162484574,0.8476497257552931,9.003006343675521,0.18044057917809797,0.1329172640925603,nan,nan,nan,9.003006343675521,0.18044057917809797,0.1329172640925603,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,selective_(fb)_m52_n24.json
