bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,sample index,total bids,total_excess_papers,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
8,0,20,161,0,0,1492.0,307.96056841709014,0.36708902987881065,0.26970084796137467,1.1145046780307817,16.969581283601364,0.19326175278467436,0.13623875683932601,nan,nan,nan,16.969581283601364,0.19326175278467436,0.13623875683932601,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,1,1486.0,314.17763975155276,0.36847073439583927,0.27226360054323,1.118507230735765,17.100376245825935,0.18816934123935503,0.13338651233878665,nan,nan,nan,17.100376245825935,0.18816934123935503,0.13338651233878665,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,2,1483.0,309.4911020139281,0.3645432549284043,0.2685244230998069,1.1147244389727415,16.965269123163157,0.19384085457101694,0.13575816606536464,nan,nan,nan,16.965269123163157,0.19384085457101694,0.13575816606536464,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,3,1484.0,318.4317805383023,0.36949787171762755,0.27474661853130217,1.1069357124870973,17.158594283851517,0.19274982872287738,0.13832850559411683,nan,nan,nan,17.158594283851517,0.19274982872287738,0.13832850559411683,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,4,1476.0,320.0,0.3686985738635667,0.274282946449374,1.1076416544622498,17.234692029901492,0.19263592992839812,0.13842955316840452,nan,nan,nan,17.234692029901492,0.19263592992839812,0.13842955316840452,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,5,1488.0,313.0204968944099,0.3675162993236997,0.2717486498321413,1.1170824312529068,17.167712449537834,0.19440909217862876,0.13943220199413422,nan,nan,nan,17.167712449537834,0.19440909217862876,0.13943220199413422,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,6,1487.0,309.97996894409937,0.36296317709743875,0.26861304761933746,1.1207969931274278,17.045586227594406,0.19749945901657645,0.14090390993458377,nan,nan,nan,17.045586227594406,0.19749945901657645,0.14090390993458377,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,7,1471.0,318.1496894409938,0.36829533884358534,0.2728251474202608,1.0997535127726414,17.17556205704884,0.1859725553681434,0.13006604684743991,nan,nan,nan,17.17556205704884,0.1859725553681434,0.13006604684743991,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,8,1473.0,306.8972567287785,0.36027223046511414,0.2653141156196146,1.1209119870383806,17.015823555953943,0.18372080968880766,0.12979729548218305,nan,nan,nan,17.015823555953943,0.18372080968880766,0.12979729548218305,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,9,1490.0,311.64994824016566,0.3675271037687145,0.2712290078654074,1.119973945964427,17.076293021140067,0.1999655380440456,0.13731741225254568,nan,nan,nan,17.076293021140067,0.1999655380440456,0.13731741225254568,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,10,1486.0,313.52375776397514,0.36716442452330345,0.2729944032691242,1.1186544749376097,17.139979839706125,0.19256585390818592,0.13889519151700366,nan,nan,nan,17.139979839706125,0.19256585390818592,0.13889519151700366,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,11,1477.0,309.89099378881986,0.36332206962259933,0.26795785758707424,1.10051210954224,17.01514462709661,0.20188688994858098,0.1410086121869172,nan,nan,nan,17.01514462709661,0.20188688994858098,0.1410086121869172,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,12,1487.0,316.05559006211183,0.37124612402511054,0.2740553880235038,1.1053707182530057,17.067337028829314,0.19985497241461392,0.141496182444209,nan,nan,nan,17.067337028829314,0.19985497241461392,0.141496182444209,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,13,1479.0,300.9457556935818,0.3559042278168874,0.26181931658605084,1.1141221931282494,16.78925185970956,0.1947596032803468,0.13740155133482945,nan,nan,nan,16.78925185970956,0.1947596032803468,0.13740155133482945,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,14,1486.0,316.8178053830228,0.3708214831641322,0.27476964489077543,1.1026850938799364,17.121105114664438,0.20135689628629297,0.14522431744090122,nan,nan,nan,17.121105114664438,0.20135689628629297,0.14522431744090122,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,15,1477.0,313.70678053830227,0.36232641069552135,0.26860120643226304,1.1014236701236955,17.053074801464724,0.19783549818103968,0.14207348152648272,nan,nan,nan,17.053074801464724,0.19783549818103968,0.14207348152648272,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,16,1478.0,311.0380434782609,0.3619480893221242,0.26814393916200807,1.1106757832588976,17.08144844529704,0.1942796153645942,0.13628406773214116,nan,nan,nan,17.08144844529704,0.1942796153645942,0.13628406773214116,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,17,1486.0,305.5182241671372,0.36235330657783354,0.2676108231883705,1.1150657507410202,16.831873034554533,0.18631771428905147,0.13023267273550398,nan,nan,nan,16.831873034554533,0.18631771428905147,0.13023267273550398,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,18,1478.0,319.683281573499,0.3750267880650751,0.2756292899172785,1.1063361413828878,17.190359381840924,0.189901790570703,0.13455002077951575,nan,nan,nan,17.190359381840924,0.189901790570703,0.13455002077951575,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
8,0,20,161,0,19,1474.0,316.52795031055905,0.3746815081319032,0.27480859789902806,1.1068635549252244,17.138853994333076,0.2038449129130235,0.14294294372624133,nan,nan,nan,17.138853994333076,0.2038449129130235,0.14294294372624133,.//cost_matrices//cost_matrix_m442_n161.json,.//cost_matrices//quota_matrix_m442_n161.json,selective_(fb)_m442_n161.json
