n,m,bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
24,52,6,0,5,32,25,2,FractionalAllocation,33,198,20.83571429,0.682647908,0.267482517,0.193861694,0.676705253,7.289893118,0.182960301,0.13329547,8.219204567,0.119608402,0.089199945,6.980122635,0.198636323,0.143147854,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,34,190,23.01428571,0.699924812,0.259311741,0.189676113,0.663778546,7.225422157,0.189239654,0.142103772,7.649990074,0.177569903,0.123988451,7.083899518,0.186799735,0.144185186,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,35,191,21.60714286,0.703627524,0.268525977,0.192811116,0.640923705,7.478126444,0.248957787,0.179587732,8.688112898,0.146720267,0.105804301,6.979896728,0.278201954,0.195810348,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,36,187,18.35714286,0.73605806,0.225935829,0.164232826,0.658816777,6.834582642,0.208185338,0.149394103,4.357776346,0.32664821,0.32664821,7.05974685,0.18978553,0.139447394,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,37,199,22.44642857,0.671123475,0.282470043,0.205257055,0.691580472,7.295289075,0.18477212,0.140409921,6.934466245,0.196784962,0.150117477,7.47570049,0.174811983,0.132890922,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,38,189,17.55,0.732539683,0.227614978,0.165242165,0.67511992,6.758796556,0.20900435,0.144240944,6.374093018,0.125100934,0.094861083,6.860034329,0.224998719,0.15740344,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,39,187,21.65,0.718449198,0.259461127,0.191999177,0.64223643,7.268124002,0.215678298,0.163307092,7.91667153,0.128598688,0.104910581,7.00107502,0.239399863,0.182163404,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,40,194,15.97142857,0.72179676,0.224623315,0.156423473,0.684597126,6.902990261,0.211522507,0.155456304,7.661571076,0.117916092,0.086984882,6.65012999,0.226273824,0.164888328,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,41,198,22.66785714,0.673394661,0.264568765,0.183566434,0.697234709,7.529814755,0.198460819,0.131834088,8.206044931,0.088095239,0.063250024,7.304404697,0.228181292,0.155277865,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,42,186,24.37857143,0.707642089,0.260752688,0.198097601,0.65821407,7.528151291,0.18125832,0.128993628,6.54535351,0.140623242,0.109379941,7.786782286,0.183344133,0.12986427,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,43,191,16.27857143,0.731525804,0.213552155,0.156061216,0.694205473,6.874216,0.197828121,0.13976434,6.94433957,0.069466746,0.053850341,6.860191286,0.215549394,0.156557119,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,44,189,22.97857143,0.703817082,0.258547009,0.191697192,0.67248913,7.669501669,0.223193672,0.154105862,8.291878486,0.071974414,0.067001969,7.580590695,0.24000671,0.17018534,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,45,198,18.88571429,0.692496392,0.232323232,0.171522922,0.688501588,7.345994855,0.207931131,0.147527709,8.166091301,0.154403296,0.117359065,7.072629373,0.221170965,0.162148421,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,46,187,22.1,0.716042781,0.263368984,0.194158782,0.618133229,7.407991447,0.212908199,0.162237986,8.628432252,0.080477642,0.06319535,7.001177845,0.239024414,0.184721449,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,47,191,18.72857143,0.718698579,0.231071285,0.16653242,0.668907814,7.106261559,0.198517888,0.139001508,7.264691869,0.110012404,0.09157994,7.064569372,0.215785404,0.151088914,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,25,2,FractionalAllocation,48,191,25.83571429,0.681488407,0.273560209,0.206705598,0.664435845,8.094196603,0.201444658,0.146236904,8.996135696,0.14363163,0.097205451,7.643227056,0.219814926,0.16174879,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
