#step,#updates,reviewer id,reviewer type,bidder selected,paper id,private_cost,previous demand,new demand,price,seen price,total seen price,previous bid,bid,positive bid,allocation,realized cost,total bid,total price,total realized cost,unallocated_amount_step_2,matching output json file
0,0,0,IntegralSincereBehavior,False,0,7.78826265969331,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.7727839225420481,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,1,5.270160909840264,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.5229273585509127,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,2,4.59807288909568,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.4562399804206823,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,3,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,4,7.033140288558141,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.6978575296527683,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,5,3.2324684323320803,0.0,1.0,1,1,0.0,0.0,0.0,0,0.06614944875459376,0.21382600491539297,0.0,0.0,20.601248788530434,2.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,6,0.8371109722923222,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.08306164404533868,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,7,7.508222562924627,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.7449971754964008,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,8,2.372141187043462,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.23537374783648904,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
0,0,0,IntegralSincereBehavior,False,9,1.1458136819646867,0.0,0.0,1,1,0.0,0.0,0.0,0,0.09922417313189064,0.11369241515615315,0.0,0.0,20.601248788530434,3.0,simulation_2019-08-01T14-52-52
