#step,#updates,reviewer id,bidder selected,paper id,private_cost,previous demand,new demand,price,seen price,total seen price,previous bid,bid,allocation,realized cost,total bid,total price,total realized cost,unallocated_amount_step_2,matching output json file
30,0,0,True,27,0.9361132352723068,0.0,10.0,0.3,1,5.0,0.0,1.0,0.3,0.280833970581692,5.0,1.8892857142857145,16.814281318288312,4.440892098500626e-16,simulation_2019-07-23T10-28-42
30,0,0,True,28,6.296009941594475,0.0,0.0,1,1,5.0,0.0,0.0,0.1675252381451257,1.0547405648296935,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
30,0,0,True,29,4.68786283980247,0.0,1.0,1,1,5.0,0.0,0.0,0.10908686846873089,0.5113842770049833,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,30,6.2700994980438045,0.0,3.0,1,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,31,4.976312521712231,0.0,2.0,1,1,5.0,0.0,0.0,0.05584174604837523,0.27788598009480414,5.0,1.8892857142857145,16.814281318288312,1.0,simulation_2019-07-23T10-28-42
30,0,0,True,32,1.5886103781287404,0.0,1.0,1,1,5.0,0.0,0.0,0.10426627304147466,0.16563848344249155,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,33,4.088811820044807,0.0,1.0,1,1,5.0,0.0,0.0,0.10426627304147466,0.4263251696440008,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,34,5.876653270832111,0.0,1.0,1,1,5.0,0.0,0.0,0.11168349209675046,0.6563251591283208,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,35,3.180555992905039,0.0,0.0,1,1,5.0,0.0,0.0,0.156399409562212,0.497437079369903,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
30,0,0,True,36,1.114528639564834,0.0,3.0,1,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,37,7.3973624138122585,0.0,3.0,1,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,38,4.890415971868408,0.0,1.0,1,1,5.0,0.0,0.0,0.10426627304147466,0.5099054470092201,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,39,4.145873520803979,0.0,0.0,1,1,5.0,0.0,0.0,0.156399409562212,0.6484121707733513,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
30,0,0,True,40,6.403635824486882,0.0,7.0,0.42857142857142855,1,5.0,0.0,0.0,2.5109397212209453e-17,1.607914355193755e-16,5.0,1.8892857142857145,16.814281318288312,4.440892098500626e-16,simulation_2019-07-23T10-28-42
30,0,0,True,41,6.722648502948867,0.0,1.0,1,1,5.0,0.0,0.0,0.10678834808259588,0.7179005283698457,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,42,1.5866934571471942,0.0,5.0,0.6,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,43,1.1961064427715646,0.0,0.0,1,1,5.0,0.0,0.0,0.16325437716321492,0.19526961233558035,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
30,0,0,True,44,2.5120466902667715,0.0,0.0,1,1,5.0,0.0,0.0,0.156399409562212,0.3928826191504319,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
30,0,0,True,45,7.978332252940921,0.0,0.0,1,1,5.0,0.0,0.0,0.15945345764204966,1.2721726639485136,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
30,0,0,True,46,6.184495572746231,0.0,3.0,1,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,47,1.9616975737360312,0.0,5.0,0.6,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,48,7.319318842659305,0.0,0.0,1,1,5.0,0.0,0.0,0.15945345764204966,1.1670906970466315,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
30,0,0,True,49,3.401953769368265,0.0,1.0,1,1,5.0,0.0,0.0,0.10883625144214328,0.37025589583751156,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,50,0.0,0.0,3.0,1,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,51,1.4862650818442003,0.0,3.0,1,1,5.0,0.0,0.0,0.0,0.0,5.0,1.8892857142857145,16.814281318288312,0.0,simulation_2019-07-23T10-28-42
30,0,0,True,52,2.0070740754212895,0.0,1.0,1,1,5.0,0.0,0.0,0.10426627304147466,0.20927013356234148,5.0,1.8892857142857145,16.814281318288312,2.0,simulation_2019-07-23T10-28-42
30,0,0,True,53,5.341559382724169,0.0,0.0,1,1,5.0,0.0,0.0,0.15945345764204966,0.8517301127757012,5.0,1.8892857142857145,16.814281318288312,3.0,simulation_2019-07-23T10-28-42
