Bidder,Paper,Private Cost,Step 1 Allocation,Step 2 Allocation,Step 3 Allocation,Social Cost,Total Social Cost,Fairness,Unassigned Papers
0,0,0.306627937758265,1.0,1.0,1.0,0.306627937758265,149.305814440621,TBD,TBD
0,1,2.7106439194815732,0.0,0.0,0.021505376344086006,0.0582934176232596,149.305814440621,TBD,TBD
0,2,2.7137472867329437,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,3,0,0.0,0.0,0.010752688172043003,0.0,149.305814440621,TBD,TBD
0,4,2.4291577018763766,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,5,2.283477596067314,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,6,0,0.0,0.0,0.010752688172043003,0.0,149.305814440621,TBD,TBD
0,7,2.580473565223178,0.0,0.0,0.010752688172043003,0.027747027583044905,149.305814440621,TBD,TBD
0,8,2.74179599612218,0.0,0.0,0.010752688172043003,0.02948167737765783,149.305814440621,TBD,TBD
0,9,2.809887190979836,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,10,2.674807891259031,0.0,0.0,0.010752688172043003,0.02876137517482827,149.305814440621,TBD,TBD
0,11,0,0.0,0.0,0.010752688172043003,0.0,149.305814440621,TBD,TBD
0,12,2.877663456650682,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,13,2.7644173244384955,0.0,0.0,0.010752688172043003,0.029724917467080576,149.305814440621,TBD,TBD
0,14,1.8955311844801936,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,15,2.05313529034069,0.0,0.0,0.010752688172043003,0.022076723552050412,149.305814440621,TBD,TBD
0,16,2.748162727650994,0.0,0.0,0.021505376344086006,0.059100273712924555,149.305814440621,TBD,TBD
0,17,0,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,18,1.5970110325980706,0.0,0.0,2.3875763970433457e-18,3.8129858472489744e-18,149.305814440621,TBD,TBD
0,19,2.8609999674863102,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,20,2.291799390859169,0.0,0.0,0.021505376344086006,0.0492860084055735,149.305814440621,TBD,TBD
0,21,2.2314876433579283,0.0,0.0,0.021505376344086006,0.04798898157758982,149.305814440621,TBD,TBD
0,22,2.5314437260336597,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,23,0.3316586442046031,0.0,0.0,0.010752688172043003,0.0035662219806946545,149.305814440621,TBD,TBD
0,24,0.3429827839781848,0.0,0.0,0.010752688172043003,0.0036879869244966085,149.305814440621,TBD,TBD
0,25,2.5172534337229435,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,26,1.3889508185996295,0.0,0.0,0.010752688172043003,0.014934955038705683,149.305814440621,TBD,TBD
0,27,2.4224987660490322,0.0,0.0,0.021505376344086006,0.052096747656968395,149.305814440621,TBD,TBD
0,28,0.7930813062315245,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,29,0.7421242565332038,0.0,0.0,0.010752688172043003,0.007979830715410788,149.305814440621,TBD,TBD
0,30,0.017328069614909958,1.0,1.0,1.0,0.017328069614909958,149.305814440621,TBD,TBD
0,31,2.389927299071057,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,32,0.6208419769074892,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,33,0,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,34,2.5431176479136743,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,35,2.5879974469973774,0.0,0.0,0.010752688172043003,0.02782792953760619,149.305814440621,TBD,TBD
0,36,2.568723764026643,0.0,0.0,0.010752688172043003,0.027620685634695066,149.305814440621,TBD,TBD
0,37,0.09070129546547157,1.0,1.0,1.0,0.09070129546547157,149.305814440621,TBD,TBD
0,38,2.8582742041280644,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,39,2.8675343578051153,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,40,1.6922490080496029,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,41,2.2123373410325704,0.0,0.0,0.010752688172043003,0.023788573559489986,149.305814440621,TBD,TBD
0,42,2.247280240444393,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,43,2.6773440343553343,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,44,0.3017361219925502,1.0,1.0,1.0,0.3017361219925502,149.305814440621,TBD,TBD
0,45,2.755936588355264,0.0,0.0,0.010752688172043003,0.029633726756508192,149.305814440621,TBD,TBD
0,46,2.5693628793280783,0.0,0.0,0.010752688172043003,0.02762755784223738,149.305814440621,TBD,TBD
0,47,2.782886781144451,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
0,48,2.6215906956439987,0.0,0.0,0.010752688172043003,0.028189147264989212,149.305814440621,TBD,TBD
0,49,2.3206204713640712,0.0,0.0,0.021505376344086006,0.049905816588474615,149.305814440621,TBD,TBD
0,50,2.638103470800766,0.0,0.0,0.010752688172043003,0.02836670398710499,149.305814440621,TBD,TBD
0,51,2.0871787683421763,0.0,0.0,2.3875763970433457e-18,4.983298763703781e-18,149.305814440621,TBD,TBD
1,0,0.08908374463033386,1.0,1.0,1.0,0.08908374463033386,149.305814440621,TBD,TBD
1,1,2.674118942874472,0.0,0.0,0.08172043010752689,0.21853015017038696,149.305814440621,TBD,TBD
1,2,1.2694699448850044,0.0,0.0,0.0,0.0,149.305814440621,TBD,TBD
1,3,0.6425964377613319,0.0,0.0,0.04086021505376344,0.026256628639710337,149.305814440621,TBD,TBD
