reviewer id,paper id,private cost,step 1 allocation,step 2 allocation,step 3 allocation,cost contribution,individual contribution,total social cost,total unallocated papers,total paper cost,matching input json file
-1,0,1,-1,-1,0.20289855072463858,0.20289855072463858,0.7528985507246388,46.93112780049303,0.7528985507246388,3.0392083991424554,./output/simulation_t1.json
-1,1,1,-1,-1,-4.440892098500626e-16,-4.440892098500626e-16,0.7528985507246388,46.93112780049303,0.7528985507246388,6.191386266191807,./output/simulation_t1.json
-1,2,1,-1,-1,-4.440892098500626e-16,-4.440892098500626e-16,0.7528985507246388,46.93112780049303,0.7528985507246388,7.096760195895332,./output/simulation_t1.json
-1,3,1,-1,-1,4.440892098500626e-16,4.440892098500626e-16,0.7528985507246388,46.93112780049303,0.7528985507246388,6.615714552639739,./output/simulation_t1.json
-1,4,1,-1,-1,0.27500000000000036,0.27500000000000036,0.7528985507246388,46.93112780049303,0.7528985507246388,2.547752543421225,./output/simulation_t1.json
-1,5,1,-1,-1,0.27500000000000036,0.27500000000000036,0.7528985507246388,46.93112780049303,0.7528985507246388,5.531848507073252,./output/simulation_t1.json
-1,6,1,-1,-1,0.0,0.0,0.7528985507246388,46.93112780049303,0.7528985507246388,1.6796971184278453,./output/simulation_t1.json
-1,7,1,-1,-1,-4.440892098500626e-16,-4.440892098500626e-16,0.7528985507246388,46.93112780049303,0.7528985507246388,6.281428783550847,./output/simulation_t1.json
-1,8,1,-1,-1,0.0,0.0,0.7528985507246388,46.93112780049303,0.7528985507246388,1.3683567985077847,./output/simulation_t1.json
-1,9,1,-1,-1,4.440892098500626e-16,4.440892098500626e-16,0.7528985507246388,46.93112780049303,0.7528985507246388,6.643794796365972,./output/simulation_t1.json
0,0,0.020266447091396245,1.0,1.0,1.0,0.020266447091396245,4.396833329438717,46.93112780049303,0.7528985507246388,3.0392083991424554,./output/simulation_t1.json
0,1,2.1103694149324177,0.0,0.0,0.41250000000000003,0.8705273836596223,4.396833329438717,46.93112780049303,0.7528985507246388,6.191386266191807,./output/simulation_t1.json
0,2,2.311540462829987,0.0,0.0,0.41250000000000003,0.9535104409173698,4.396833329438717,46.93112780049303,0.7528985507246388,7.096760195895332,./output/simulation_t1.json
0,3,-1,0.0,0.0,0.0,-0.0,4.396833329438717,46.93112780049303,0.7528985507246388,6.615714552639739,./output/simulation_t1.json
0,4,0.5828825124916382,0.0,0.0,0.275,0.16029269093520054,4.396833329438717,46.93112780049303,0.7528985507246388,2.547752543421225,./output/simulation_t1.json
0,5,2.2577118065134147,0.0,0.0,0.275,0.6208707467911891,4.396833329438717,46.93112780049303,0.7528985507246388,5.531848507073252,./output/simulation_t1.json
0,6,0.1370090189536629,0.0,0.0,0.0,0.0,4.396833329438717,46.93112780049303,0.7528985507246388,1.6796971184278453,./output/simulation_t1.json
0,7,2.350629549530429,0.0,0.0,0.41250000000000003,0.9696346891813019,4.396833329438717,46.93112780049303,0.7528985507246388,6.281428783550847,./output/simulation_t1.json
0,8,-1,0.0,0.0,0.0,-0.0,4.396833329438717,46.93112780049303,0.7528985507246388,1.3683567985077847,./output/simulation_t1.json
0,9,1.6763464918036957,0.0,0.0,0.47826086956521735,0.801730930862637,4.396833329438717,46.93112780049303,0.7528985507246388,6.643794796365972,./output/simulation_t1.json
1,0,1.0354634038389774,1.0,1.0,1.0,1.0354634038389774,3.5262656051939287,46.93112780049303,0.7528985507246388,3.0392083991424554,./output/simulation_t1.json
1,1,2.7779191019499234,0.0,0.0,0.11249999999999999,0.3125158989693664,3.5262656051939287,46.93112780049303,0.7528985507246388,6.191386266191807,./output/simulation_t1.json
1,2,2.994941964748834,0.0,0.0,0.11249999999999999,0.3369309710342438,3.5262656051939287,46.93112780049303,0.7528985507246388,7.096760195895332,./output/simulation_t1.json
1,3,2.8136101415098658,0.0,0.0,0.13043478260869565,0.36699262715346076,3.5262656051939287,46.93112780049303,0.7528985507246388,6.615714552639739,./output/simulation_t1.json
1,4,2.014228798418473,0.0,0.0,0.075,0.15106715988138544,3.5262656051939287,46.93112780049303,0.7528985507246388,2.547752543421225,./output/simulation_t1.json
1,5,2.749387196740952,0.0,0.0,0.075,0.2062040397555714,3.5262656051939287,46.93112780049303,0.7528985507246388,5.531848507073252,./output/simulation_t1.json
1,6,0.0940856325865892,1.0,1.0,1.0,0.0940856325865892,3.5262656051939287,46.93112780049303,0.7528985507246388,1.6796971184278453,./output/simulation_t1.json
1,7,1.8439438046572145,0.0,0.0,0.11249999999999999,0.20744367802393662,3.5262656051939287,46.93112780049303,0.7528985507246388,6.281428783550847,./output/simulation_t1.json
1,8,0.5077689224160706,1.0,1.0,1.0,0.5077689224160706,3.5262656051939287,46.93112780049303,0.7528985507246388,1.3683567985077847,./output/simulation_t1.json
1,9,2.3597484150965076,0.0,0.0,0.13043478260869565,0.30779327153432706,3.5262656051939287,46.93112780049303,0.7528985507246388,6.643794796365972,./output/simulation_t1.json
2,0,2.820926154178073,0.0,0.0,0.15942028985507245,0.4497128651588232,5.150065223251508,46.93112780049303,0.7528985507246388,3.0392083991424554,./output/simulation_t1.json
2,1,1.2289540037236684,0.0,0.0,0.41250000000000003,0.5069435265360133,5.150065223251508,46.93112780049303,0.7528985507246388,6.191386266191807,./output/simulation_t1.json
2,2,2.0647479158197006,0.0,0.0,0.41250000000000003,0.8517085152756266,5.150065223251508,46.93112780049303,0.7528985507246388,7.096760195895332,./output/simulation_t1.json
2,3,0.961368101024044,0.0,0.0,0.47826086956521735,0.459784743968021,5.150065223251508,46.93112780049303,0.7528985507246388,6.615714552639739,./output/simulation_t1.json
