n,m,bidding requirement,fallback bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,fraction of unfulfilled bids,fraction of allocation without bid,"CORREL(bid,assignment)",average_bidder_cost,average_fallback_bidder_cost,average_main_bidder_cost,cost matrix used,quota matrix used,input json file used
400,600,4.5,10,0,5,400,20,2,Utilitarian,3,2556.0,nan,nan,0.12175000000000001,0.7268207185924223,6.902853889515894,9.73385838691117,6.217082613749337,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,20,2,MockAllocationAll,4,2559.0,194.17345723698668,nan,0.10745352368845007,0.9301865240304765,6.93593814346983,10.55686634989222,6.127596372617125,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,20,2,Utilitarian,4,2559.0,nan,nan,0.12300000000000001,0.7249779846326828,6.839625859793863,10.23070662362254,6.082595597532416,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,MockAllocationAll,0,2568.0,304.5679684496416,nan,0.16872584045056796,0.9084460593406148,7.813169542141061,9.56475004643952,6.544783659718036,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,Utilitarian,0,2568.0,nan,nan,0.1685,0.6856685473431232,7.366636885011067,9.225670975238781,6.020439785190999,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,MockAllocationAll,1,2485.0,289.08522883205546,nan,0.1602153892202881,0.9205951908868923,7.63724513419772,10.059205071498008,6.2148242186404055,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,Utilitarian,1,2485.0,nan,nan,0.16524999999999998,0.6995854141693821,7.337814926357287,9.868641328855178,5.8514565629855095,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,MockAllocationAll,2,2538.0,273.40663466967817,inf,0.15148920335812424,0.917737414506659,7.531836242422452,9.353376411566579,6.279047012167209,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,Utilitarian,2,2538.0,nan,nan,0.14925,0.7067678391124105,6.999654418550446,8.51895939747341,5.954731584945202,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,MockAllocationAll,3,2482.0,275.1594334329242,nan,0.1524877162778305,0.9228843371930123,7.500035033658156,9.511935944813532,6.292894486964933,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,Utilitarian,3,2482.0,nan,nan,0.15662500000000001,0.708606849845535,7.165803381481611,9.535689333939365,5.74387181000696,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,MockAllocationAll,4,2593.0,324.5922660197522,nan,0.17975377896695569,0.8988596515683622,7.992357151258516,9.955861664995812,6.526159457594422,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,40,2,Utilitarian,4,2593.0,nan,nan,0.16774999999999998,0.6818364860163216,7.436877197355066,9.70691570552831,5.741782940160199,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,MockAllocationAll,0,2542.0,396.84321268686597,nan,0.2199775613045911,0.893734244314708,8.47604208398272,9.69495783292406,6.5695328356385705,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,Utilitarian,0,2542.0,nan,nan,0.197125,0.6661045087883652,7.793043856808367,8.94692641043207,5.98825319601232,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,MockAllocationAll,1,2620.0,383.0984067667531,inf,0.21222218196120843,0.8843148910881611,8.408372851801314,9.74676957394872,6.687577066183219,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,Utilitarian,1,2620.0,nan,nan,0.18012499999999998,0.669428419081409,7.571509231889963,8.602288633915359,6.246221429285885,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,MockAllocationAll,2,2499.0,405.51603781089074,inf,0.22481601157289702,0.8904393557345649,8.489601353290501,9.655301355272417,6.647043285641667,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,Utilitarian,2,2499.0,nan,nan,0.20675000000000002,0.6666699922324274,7.678340975529406,8.787610113110286,5.924980080643499,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,MockAllocationAll,3,2481.0,410.28740184638815,nan,0.2274948840430231,0.8982462318765079,8.54877324357595,9.896954954949157,6.483836698308131,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,Utilitarian,3,2481.0,nan,nan,0.20925000000000002,0.6657808395939273,7.920073070981423,9.431464094398194,5.605157706001306,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,MockAllocationAll,4,2510.0,383.2773194444015,nan,0.21243141986348482,0.8931712328477329,8.34859257683655,10.017787565318436,6.202484734502695,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,60,2,Utilitarian,4,2510.0,nan,nan,0.18787500000000001,0.6817989519988944,7.642562001766043,9.105786794169388,5.761272982961741,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,MockAllocationAll,0,2555.0,508.80625591520203,inf,0.2821760696801847,0.8717807376597726,9.317637514263371,9.975519897029741,6.644469857706342,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,Utilitarian,0,2555.0,nan,nan,0.244,0.6262645788513287,8.232418577758029,8.860590208653042,5.679974356020062,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,MockAllocationAll,1,2555.0,524.8805645202591,inf,0.2910456378804776,0.8695569375437029,9.4405668493117,10.136161231357526,6.569010554199437,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,Utilitarian,1,2555.0,nan,nan,0.24962499999999999,0.6220295172230756,8.352926651669607,9.068464340887173,5.3990402936176025,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,MockAllocationAll,2,2509.0,492.538645972415,inf,0.27311866240135896,0.8802473838490085,9.1893192369869,9.830784733541702,7.071793350510299,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,Utilitarian,2,2509.0,nan,nan,0.2385,0.6354054922345436,8.392088143546825,8.989252549915193,6.4208034902663,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,MockAllocationAll,3,2572.0,502.8716568957359,inf,0.2788406969507653,0.874651654164116,9.27892256737432,9.833327829482217,7.026212578302991,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,Utilitarian,3,2572.0,nan,nan,0.235625,0.6307203937940129,8.174938773736988,8.619138915530616,6.370024273537572,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,MockAllocationAll,4,2486.0,506.91785402749656,inf,0.2811457651831944,0.8821345876210197,9.286580042954121,10.039108174609725,6.579208718721905,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
400,600,4.5,10,0,5,400,80,2,Utilitarian,4,2486.0,nan,nan,0.24887499999999999,0.6298036736276958,8.389889043731287,9.202985092712956,5.464612453716777,.//cost_matrices//cost_matrix_m600_n400_AAAI17.json,.//cost_matrices//quota_matrix_m600_n400_AAAI17.json,compliance_fig.json
