reviewer id,paper id,private cost,step 1 allocation,step 2 allocation,step 3 allocation,cost contribution,individual contribution,total social cost,total unallocated papers,total paper cost,matching input json file
-1,0,1,-1,-1,0,0,0.26754154,50.0551339,0.26754154,6.451802833,Output/simulation_2019-06-04T15-20-42.json
-1,1,1,-1,-1,0,0,0.26754154,50.0551339,0.26754154,4.600374506,Output/simulation_2019-06-04T15-20-42.json
-1,2,1,-1,-1,0.013829763,0.013829763,0.26754154,50.0551339,0.26754154,5.436227047,Output/simulation_2019-06-04T15-20-42.json
-1,3,1,-1,-1,0.010040891,0.010040891,0.26754154,50.0551339,0.26754154,6.376514674,Output/simulation_2019-06-04T15-20-42.json
-1,4,1,-1,-1,0,0,0.26754154,50.0551339,0.26754154,5.062660815,Output/simulation_2019-06-04T15-20-42.json
-1,5,1,-1,-1,0.243670886,0.243670886,0.26754154,50.0551339,0.26754154,3.910696931,Output/simulation_2019-06-04T15-20-42.json
-1,6,1,-1,-1,-8.88E-16,-8.88E-16,0.26754154,50.0551339,0.26754154,5.55894546,Output/simulation_2019-06-04T15-20-42.json
-1,7,1,-1,-1,0,0,0.26754154,50.0551339,0.26754154,2.620195083,Output/simulation_2019-06-04T15-20-42.json
-1,8,1,-1,-1,0,0,0.26754154,50.0551339,0.26754154,5.901050666,Output/simulation_2019-06-04T15-20-42.json
-1,9,1,-1,-1,0,0,0.26754154,50.0551339,0.26754154,3.199608737,Output/simulation_2019-06-04T15-20-42.json
0,0,0.020266447,0.6,0.6,0.60952327,0.012352871,6.130661248,50.0551339,0.26754154,6.451802833,Output/simulation_2019-06-04T15-20-42.json
0,1,2.110369415,0.6,0.6,0.600125559,1.266486624,6.130661248,50.0551339,0.26754154,4.600374506,Output/simulation_2019-06-04T15-20-42.json
0,2,2.311540463,0,0,0.013929979,0.03219971,6.130661248,50.0551339,0.26754154,5.436227047,Output/simulation_2019-06-04T15-20-42.json
0,3,-1,0,0,0,0,6.130661248,50.0551339,0.26754154,6.376514674,Output/simulation_2019-06-04T15-20-42.json
0,4,0.582882512,0.375,0.375,0.380302216,0.221671511,6.130661248,50.0551339,0.26754154,5.062660815,Output/simulation_2019-06-04T15-20-42.json
0,5,2.257711807,0,0,0.439873418,0.993107409,6.130661248,50.0551339,0.26754154,3.910696931,Output/simulation_2019-06-04T15-20-42.json
0,6,0.137009019,0.428571429,0.428571429,0.434631104,0.059548381,6.130661248,50.0551339,0.26754154,5.55894546,Output/simulation_2019-06-04T15-20-42.json
0,7,2.35062955,0.5,0.5,0.5,1.175314775,6.130661248,50.0551339,0.26754154,2.620195083,Output/simulation_2019-06-04T15-20-42.json
0,8,-1,0,0,0,0,6.130661248,50.0551339,0.26754154,5.901050666,Output/simulation_2019-06-04T15-20-42.json
0,9,1.676346492,0.75,0.75,0.750176183,1.257555213,6.130661248,50.0551339,0.26754154,3.199608737,Output/simulation_2019-06-04T15-20-42.json
1,0,1.035463404,0.6,0.6,0.60952327,0.63113904,5.018236494,50.0551339,0.26754154,6.451802833,Output/simulation_2019-06-04T15-20-42.json
1,1,2.777919102,0,0,0.000125559,0.000348791,5.018236494,50.0551339,0.26754154,4.600374506,Output/simulation_2019-06-04T15-20-42.json
1,2,2.994941965,0,0,0.013929979,0.041719478,5.018236494,50.0551339,0.26754154,5.436227047,Output/simulation_2019-06-04T15-20-42.json
1,3,2.813610142,0,0,0.018125764,0.050998833,5.018236494,50.0551339,0.26754154,6.376514674,Output/simulation_2019-06-04T15-20-42.json
1,4,2.014228798,0.375,0.375,0.380302216,0.766015676,5.018236494,50.0551339,0.26754154,5.062660815,Output/simulation_2019-06-04T15-20-42.json
1,5,2.749387197,0,0,0.439873418,1.209382343,5.018236494,50.0551339,0.26754154,3.910696931,Output/simulation_2019-06-04T15-20-42.json
1,6,0.094085633,0.428571429,0.428571429,0.434631104,0.040892542,5.018236494,50.0551339,0.26754154,5.55894546,Output/simulation_2019-06-04T15-20-42.json
1,7,1.843943805,0.5,0.5,0.5,0.921971902,5.018236494,50.0551339,0.26754154,2.620195083,Output/simulation_2019-06-04T15-20-42.json
