Bidder,Paper,Private Cost,Step 1 Allocation,Step 2 Allocation,Step 3 Allocation,Social Cost,Total Social Cost,Total Unallocated Papers,Preference File,Market Mechanism,Behavior,Algorithm,Private Price Generator
-1,27,1,-1,-1,-8.881784197001252e-16,-8.881784197001252e-16,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,28,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,29,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,30,1,-1,-1,0.08461653460905927,0.08461653460905927,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,31,1,-1,-1,0.09854556248144775,0.09854556248144775,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,32,1,-1,-1,4.440892098500626e-16,4.440892098500626e-16,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,33,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,34,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,35,1,-1,-1,0.08158220024721885,0.08158220024721885,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,36,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,37,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,38,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,39,1,-1,-1,0.06785714285714262,0.06785714285714262,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,40,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,41,1,-1,-1,0.09171428571428653,0.09171428571428653,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,42,1,-1,-1,0.06637956637956632,0.06637956637956632,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,43,1,-1,-1,0.0752895752895748,0.0752895752895748,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,44,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
