Bidder,Paper,Private Cost,Step 1 Allocation,Step 2 Allocation,Step 3 Allocation,Social Cost,Total Social Cost,Total Unallocated Papers,Preference File,Market Mechanism,Behavior,Algorithm,Private Price Generator
-1,0,1,-1,-1,0.0,0.0,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,1,1,-1,-1,0.0,0.0,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,2,1,-1,-1,0.0,0.0,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
0,0,0.41636421187810446,1.0,1.0,1.0,0.41636421187810446,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
0,1,2.6788684102686644,0.0,0.0,0.0,0.0,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
0,2,2.1506683008421597,0.0,0.0,0.0,0.0,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
1,0,2.845267077266148,0.0,0.0,0.0,0.0,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
1,1,0.49263384603067306,0.5,0.5,0.5,0.24631692301533653,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
1,2,0.5932355250082283,0.5,0.5,0.5,0.29661776250411415,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
2,0,2.7290004750977968,0.0,0.0,0.0,0.0,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
2,1,0.9691627068555062,0.5,0.5,0.5,0.4845813534277531,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
2,2,0.25714023140218445,0.5,0.5,0.5,0.12857011570109222,1.5724503665264005,0.0,example_quota.txt,FixedMechanism,BestTwoPreferenceBehavior,FractionalAllocation,SimplePrivatePricesGenerator
