bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,total bids,total_excess_papers,max_excess_papers,average_cost_per_step_2_paper,average_bidder_cost,average_fallback_bidder_cost,var_bidder_cost,cost matrix used,quota matrix used,input json file used
5,2,1,0,10,164.0,29.0,3.0,0.5422390088937211,7.817053338095845,9.99054041151581,4.40475658889806,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,10,153.0,32.0,3.0,0.5300850305746342,8.19870081495655,13.56606952915198,10.997679885943077,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,30,155.0,35.0,3.0,0.5095853425844554,8.465866100662636,10.915594386724928,5.595717780315836,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,30,158.0,30.0,3.0,0.5362317677244931,7.978195010872926,11.71798575678758,7.926008243992537,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,30,145.0,38.1,3.0,0.48958921882025286,8.94445488187482,11.670560789404595,13.032661552917439,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,50,133.0,43.0,3.0,0.47418335944409046,9.345120804650158,11.082053666299307,11.408828863519,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,50,143.0,38.1,3.0,0.49943036209589803,8.957236515586777,11.1724369967659,11.415119910593633,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,50,144.0,39.0,3.0,0.47306851525433746,8.69765722198168,10.781320656114657,9.070665753479524,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,70,131.0,44.5,3.0,0.469255027507072,9.712144708977538,11.02296758031339,12.079994981930424,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,70,130.0,47.0,3.0,0.4353325099623131,9.749985025644238,10.943088908873257,9.770710056213618,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,2,1,0,70,133.0,44.25000000000001,3.0,0.46485938126414794,9.548741757931369,11.119657334281301,11.070105824346308,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,10,182.0,18.635714285714283,3.0,0.6244975026712579,6.655758137591,11.238136919926854,6.623344440820145,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,10,201.0,14.228571428571428,2.0,0.6683177560711384,6.463938033697221,nan,4.106284431957481,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,10,201.0,14.228571428571428,2.0,0.6683177560711384,6.463938033697221,nan,4.106284431957481,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,30,168.0,28.8,3.0,0.5739013439288407,7.69385305508079,11.00152398181351,10.99417334906706,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,30,171.0,23.60000000000001,3.0,0.5913599998411537,7.239378337308714,11.020358424424668,7.616954358945819,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,30,173.0,27.000000000000004,3.0,0.5690987699169447,7.380875731404927,11.49538330271137,12.631263707629438,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,50,152.0,36.1,3.0,0.5338634361739283,8.68202545836344,11.676161732236446,14.163476922512762,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,50,143.0,38.849999999999994,3.0,0.49828238455722423,8.907602609845878,11.355112800134394,14.451253262610669,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,50,140.0,40.849999999999994,3.0,0.5095897338510337,9.204517553956599,10.962112517780577,11.221016267527835,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,70,130.0,46.0,3.0,0.4402194834861538,9.603413458527237,11.132052296661344,12.077240719503342,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,70,139.0,41.10000000000001,3.0,0.48799213385573514,9.209514141933425,10.916657569937167,13.002817813730326,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
5,5,1,0,70,135.0,42.85000000000001,3.0,0.4947132385653274,9.51953201921504,11.219516177117395,10.936233363496541,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
