n,m,bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
24,52,6,0,5,32,0,2,FractionalAllocation,0,165.0,25.55,0.7906060606060608,0.23624708624708624,0.17086247086247086,0.5908440747220733,7.488660625296743,0.2095089762897325,0.15397550533256094,nan,nan,nan,7.488660625296743,0.2095089762897325,0.15397550533256094,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,Utilitarian,0,165.0,-52.0,-7.5636363636363635,0.23624708624708624,0.17086247086247086,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,nan,nan,nan,15.011849595212652,0.25308143101902686,0.1856486889983741,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,RankMaximal,0,165.0,-52.0,-7.5636363636363635,0.23624708624708624,0.17086247086247086,3.4576295698990376,17.345200440696143,0.23428147605371188,0.16239360177982043,nan,nan,nan,17.345200440696143,0.23428147605371188,0.16239360177982043,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,FractionalAllocation,1,173.0,23.799999999999997,0.7641618497109826,0.2399955535793686,0.1722987994664295,0.6167311218476209,7.59593048933457,0.23734647742371937,0.18141031968322946,nan,nan,nan,7.59593048933457,0.23734647742371937,0.18141031968322946,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,Utilitarian,1,173.0,-52.0,-7.213872832369942,0.2399955535793686,0.1722987994664295,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,nan,nan,nan,15.011849595212652,0.25308143101902686,0.1856486889983741,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,RankMaximal,1,173.0,-52.0,-7.213872832369942,0.2399955535793686,0.1722987994664295,3.4576295698990376,17.345200440696143,0.23428147605371188,0.16239360177982043,nan,nan,nan,17.345200440696143,0.23428147605371188,0.16239360177982043,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,FractionalAllocation,2,172.0,27.55,0.7468023255813955,0.2430679785330948,0.18828264758497318,0.6164036165500637,7.746997954008276,0.1635249571567458,0.12257163978454216,nan,nan,nan,7.746997954008276,0.1635249571567458,0.12257163978454216,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,Utilitarian,2,172.0,-52.0,-7.255813953488372,0.2430679785330948,0.18828264758497318,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,nan,nan,nan,15.011849595212652,0.25308143101902686,0.1856486889983741,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,RankMaximal,2,172.0,-52.0,-7.255813953488372,0.2430679785330948,0.18828264758497318,3.4576295698990376,17.345200440696143,0.23428147605371188,0.16239360177982043,nan,nan,nan,17.345200440696143,0.23428147605371188,0.16239360177982043,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,FractionalAllocation,3,161.0,27.8,0.7962732919254658,0.2586000955566173,0.1800047778308648,0.558725312729252,7.828929115302798,0.21469660611924038,0.16084432793495623,nan,nan,nan,7.828929115302798,0.21469660611924038,0.16084432793495623,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,Utilitarian,3,161.0,-52.0,-7.751552795031056,0.2586000955566173,0.1800047778308648,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,nan,nan,nan,15.011849595212652,0.25308143101902686,0.1856486889983741,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,RankMaximal,3,161.0,-52.0,-7.751552795031056,0.2586000955566173,0.1800047778308648,3.4576295698990376,17.345200440696143,0.23428147605371188,0.16239360177982043,nan,nan,nan,17.345200440696143,0.23428147605371188,0.16239360177982043,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,0,2,FractionalAllocation,4,170.0,28.499999999999996,0.75,0.26357466063348417,0.19570135746606332,0.6002629458193888,7.986271186154323,0.18614547156828126,0.13989602741879434,nan,nan,nan,7.986271186154323,0.18614547156828126,0.13989602741879434,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
