bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,sample index,total bids,total_excess_papers,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
6,0,1,61,0,0,204.0,17.000000000000004,0.19720965309200603,0.15950226244343893,0.9864613283379291,8.953352933707835,0.21417710528809972,0.1567303708206982,nan,nan,nan,8.953352933707835,0.21417710528809972,0.1567303708206982,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,1,219.0,14.049999999999999,0.1767650158061117,0.13900597119775202,1.104060865649073,8.427074687150155,0.19903974021809473,0.14135698939334004,nan,nan,nan,8.427074687150155,0.19903974021809473,0.14135698939334004,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,2,217.0,15.950000000000001,0.16829138603332153,0.12672811059907835,1.1575041232648542,9.425483269129124,0.19814430857747087,0.14013977231382294,nan,nan,nan,9.425483269129124,0.19814430857747087,0.14013977231382294,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,3,219.0,15.528571428571428,0.17957499121882683,0.1426062521952933,1.0746650578766377,8.968764940990013,0.1777072634345198,0.12814961083436785,nan,nan,nan,8.968764940990013,0.1777072634345198,0.12814961083436785,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,4,216.0,10.757142857142862,0.16684472934472935,0.125,1.0008287614658549,7.958971401345579,0.16376511946248523,0.12923801541731209,nan,nan,nan,7.958971401345579,0.16376511946248523,0.12923801541731209,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,5,221.0,11.471428571428575,0.17464323007309432,0.13009049773755657,1.1760452039783627,8.978788886388964,0.16808133446262105,0.1221462107463158,nan,nan,nan,8.978788886388964,0.16808133446262105,0.1221462107463158,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,6,236.0,13.878571428571425,0.15107561929595828,0.11310299869621904,1.1275901136162931,8.783735522271598,0.17971817822818886,0.12808750924881426,nan,nan,nan,8.783735522271598,0.17971817822818886,0.12808750924881426,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,7,228.0,12.785714285714288,0.14979757085020243,0.12078272604588391,1.121428296977479,8.88729238613022,0.1804195113106185,0.12780762535437812,nan,nan,nan,8.88729238613022,0.1804195113106185,0.12780762535437812,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,10,0,222.0,12.59285714285714,0.16857241857241856,0.1302841302841303,1.1798911304550614,8.850111028549932,0.1571020929827339,0.11055122355102248,9.921081546928708,0.049191621865166145,0.049191621865166145,8.752750072333678,0.16381205159585865,0.11688671725653543,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,10,1,231.0,11.621428571428567,0.16924741924741923,0.1297036297036297,1.2714970004472912,9.613241686041823,0.22232232589932097,0.16107658019675117,9.637862660649773,0.20045972376663704,0.1482112761357623,9.603103637673843,0.22880998343664932,0.1662867751993599,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,10,2,212.0,15.050000000000004,0.1937590711175617,0.15058055152394773,1.0684907990980541,8.958830303660209,0.1847201947991733,0.13875833411511185,9.37096342799419,0.17231087946625642,0.1650422761428292,8.89995414304107,0.180791632060535,0.13385972107252953,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,10,3,208.0,16.95,0.19138313609467456,0.15384615384615385,1.044717036317655,8.772674308203348,0.22395818271030418,0.16524136928761643,8.317239657501519,0.0,0.0,8.792475814755601,0.2283472021240994,0.17086245008947415,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,10,4,226.0,10.692857142857141,0.14380530973451328,0.11470388019060587,1.137107310457866,8.705674282044514,0.19729363245279716,0.13610896363740083,9.303021174708478,0.15932167835678707,0.13804593023978284,8.586204903511721,0.20090787582992986,0.1379755618348736,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,10,5,234.0,10.121428571428574,0.15236686390532544,0.11538461538461539,1.1295563749425208,8.551795505338427,0.19193973478218795,0.1307690033488329,11.444394910908827,0.2681706896711503,0.2681706896711503,8.288831923013847,0.1633640459664883,0.1145850418079058,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,10,6,233.0,11.84285714285714,0.1379168042258171,0.10787388577088147,1.2796314991299769,9.617815053804234,0.1774656122807366,0.12670075776308584,10.933549963962037,0.03430990199411049,0.03430990199411049,9.498202789244433,0.1854376635077147,0.1336630472378461,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
