n,m,bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
146,176,3.5,0,20,290,0,0,807.0,58.7056814190376,0.5815295149702137,0.21970401036386167,0.16071026247606177,0.900215399412059,4.837061771761377,0.2715471528616641,0.20142417875018376,nan,nan,nan,4.837061771761377,0.2715471528616641,0.20142417875018376,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,1,796.0,56.22506078396492,0.5926820844422551,0.2148669483782549,0.15623572407492006,0.9021044416040183,4.783838442099147,0.28370891610170773,0.20781531776456177,nan,nan,nan,4.783838442099147,0.28370891610170773,0.20781531776456177,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,2,786.0,59.71978147423355,0.59577635944754,0.20944656488549618,0.15502833680314596,0.9168569018996583,4.922836331547205,0.27853341913023655,0.200920128915636,nan,nan,nan,4.922836331547205,0.27853341913023655,0.200920128915636,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,3,813.0,56.7866764514025,0.5795981839466143,0.2252110589287711,0.16397601476014761,0.9093936663883273,4.830638563302823,0.29881442271885045,0.21936803242266253,nan,nan,nan,4.830638563302823,0.29881442271885045,0.21936803242266253,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,4,775.0,60.62178882761077,0.6030686595772764,0.23012463343108505,0.1643548387096774,0.895079384917468,4.8906015478448,0.275837514174081,0.20079065575728489,nan,nan,nan,4.8906015478448,0.275837514174081,0.20079065575728489,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,5,813.0,54.858911522267704,0.5819693585211959,0.21089818852733982,0.15396119870289612,0.8978958234184473,4.743106138535498,0.2987093640939385,0.21962971611298632,nan,nan,nan,4.743106138535498,0.2987093640939385,0.21962971611298632,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,6,784.0,65.20405325268341,0.5903009524838222,0.22892509276437847,0.16442486085343225,0.8619624662965849,4.918069308537749,0.3087480859429096,0.2247068737307288,nan,nan,nan,4.918069308537749,0.3087480859429096,0.2247068737307288,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,7,801.0,63.176936191662236,0.5803034504473629,0.22519435932357282,0.160630178186358,0.9014127443251705,4.954106553470309,0.28893400498477007,0.211271292809036,nan,nan,nan,4.954106553470309,0.28893400498477007,0.211271292809036,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,8,799.0,64.0682663227184,0.5806404676812035,0.23830213903743316,0.1742376834679713,0.889217568147565,4.9496202846338475,0.3014975983243869,0.22457107127386797,nan,nan,nan,4.9496202846338475,0.3014975983243869,0.22457107127386797,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,9,802.0,54.58606416414637,0.5902916905683961,0.23080083881206076,0.1704262072092496,0.8930858921558548,4.699028354019242,0.2839217096459912,0.20528824789036274,nan,nan,nan,4.699028354019242,0.2839217096459912,0.20528824789036274,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,10,793.0,57.14963974381784,0.5937583357581112,0.2150564599335091,0.15647569643471285,0.9002883278902871,4.808407193475204,0.27931977599757624,0.20166929223741328,nan,nan,nan,4.808407193475204,0.27931977599757624,0.20166929223741328,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,11,791.0,58.0979926466228,0.5940606919764566,0.23097201471095277,0.16992299735662564,0.8894074189349322,4.8021310522549,0.2869340236099624,0.2085494190458995,nan,nan,nan,4.8021310522549,0.2869340236099624,0.2085494190458995,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,0,12,796.0,64.70098588625989,0.5820339373288193,0.24190555047967108,0.17376656007309274,0.8821246223119079,4.929616334823111,0.2958025995737202,0.21968975300701915,nan,nan,nan,4.929616334823111,0.2958025995737202,0.21968975300701915,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
