bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,sample index,total bids,total_excess_papers,gini_excess_papers,hoover_excess_papers,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
6,0,1,61,0,0,199.0,17.249999999999996,0.7871458149079881,0.6800104521359641,0.7182967138776299,6.822645698953603,0.1931403094520915,0.1466613538362276,nan,nan,nan,6.822645698953603,0.1931403094520915,0.1466613538362276,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,1,198.0,13.107142857142854,0.8234216568855962,0.7565881389477154,0.7002314305699426,6.516346335603761,0.19732600326494634,0.1352511263677471,nan,nan,nan,6.516346335603761,0.19732600326494634,0.1352511263677471,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,2,198.0,14.835714285714287,0.7988023425568271,0.7166523829343733,0.7108482204574138,6.466508945608673,0.23409005849857414,0.16955337128062822,nan,nan,nan,6.466508945608673,0.23409005849857414,0.16955337128062822,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,3,208.0,11.650000000000004,0.785329303934255,0.6547305907983789,0.7257331919563738,6.474434651534378,0.22572125942487495,0.16224152648406467,nan,nan,nan,6.474434651534378,0.22572125942487495,0.16224152648406467,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,4,195.0,16.128571428571426,0.7739401075612027,0.6818486314299598,0.6728057625023917,6.671107979742537,0.21284169033882377,0.14699646646335593,nan,nan,nan,6.671107979742537,0.21284169033882377,0.14699646646335593,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,5,200.0,12.649999999999997,0.8434034858128572,0.7552883227574653,0.7122153778378233,6.473573149645335,0.18084031842779016,0.12398932547931697,nan,nan,nan,6.473573149645335,0.18084031842779016,0.12398932547931697,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,6,193.0,15.65,0.7882305030681738,0.722944238082296,0.6809921649220324,6.627184556811663,0.2510814184595554,0.17099370093392333,nan,nan,nan,6.627184556811663,0.2510814184595554,0.17099370093392333,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,7,197.0,14.9,0.8018624539400383,0.7319018414269717,0.6898365236363121,6.6617736526526175,0.24208625039301757,0.16780418934262842,nan,nan,nan,6.6617736526526175,0.24208625039301757,0.16780418934262842,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,8,198.0,12.999999999999998,0.7318658379276046,0.5998243006252159,0.6947875588269472,6.4765128215607435,0.24260473109256492,0.17000790664596602,nan,nan,nan,6.4765128215607435,0.24260473109256492,0.17000790664596602,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,9,205.0,14.300000000000002,0.7088152501143868,0.6099117048036222,0.7188467980893591,6.751404967870113,0.2597022899231031,0.1863841027079254,nan,nan,nan,6.751404967870113,0.2597022899231031,0.1863841027079254,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,10,192.0,19.349999999999998,0.7184650792081912,0.6206940809474416,0.6724561145750003,7.125752298263156,0.2579262508145747,0.18770468404634938,nan,nan,nan,7.125752298263156,0.2579262508145747,0.18770468404634938,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,11,208.0,13.278571428571428,0.8147939930798002,0.7089606907257321,0.7152571466917864,6.6065028963721675,0.23859632306005632,0.17195540989417693,nan,nan,nan,6.6065028963721675,0.23859632306005632,0.17195540989417693,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,12,207.0,12.685714285714287,0.8051101032957145,0.6831874154972556,0.7214199037108847,6.561578277064896,0.22949714251251938,0.16598673242330475,nan,nan,nan,6.561578277064896,0.22949714251251938,0.16598673242330475,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,13,200.0,12.9,0.7971635771831798,0.7232331739631009,0.7020082524084658,6.408990407606917,0.23400240370095038,0.16502905228962936,nan,nan,nan,6.408990407606917,0.23400240370095038,0.16502905228962936,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,14,196.0,15.357142857142854,0.788765379745386,0.7125306941024026,0.7042190985016672,6.544480935623478,0.19294339736163027,0.13688208030594048,nan,nan,nan,6.544480935623478,0.19294339736163027,0.13688208030594048,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
6,0,1,61,0,15,200.0,14.299999999999999,0.7560287912269695,0.643197147967245,0.6903317812834048,6.380251537015421,0.2145455223922115,0.14863552827599516,nan,nan,nan,6.380251537015421,0.2145455223922115,0.14863552827599516,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,sim_input.json
